,,,,,,,,,,,,,,,
wellMilled,regularMilled,specialMilled,volumePalay,areaPalay,areaApplied,region,region2,region3,region4,region5,region6,year,year2,year3,year4
41.98,38.35,48.18,376473.48,102562.19,79776.54,6,0,0,0,0,1,4,0,0,1
41.42,36.4,50.55,1902661.85,407701,406086.51,1,0,0,0,0,0,4,0,0,1
44.82,35.13,51.69,2645776.78,589717,589379,2,1,0,0,0,0,4,0,0,1
42.84,36.99,53.25,3635147.59,711208.1,707051.26,3,0,1,0,0,0,4,0,0,1
41.72,38.44,50.09,386919.93,106265.69,102208.62,4,0,0,1,0,0,4,0,0,1
41.66,37.86,45.32,1294991.12,346628.99,322873.93,5,0,0,0,1,0,4,0,0,1
42.93,38.16,47.76,377133.35,101555.75,86341.79,6,0,0,0,0,1,1,0,0,0
41.11,36.35,51.14,1902342.6,409035,409013,1,0,0,0,0,0,1,0,0,0
44.79,35.44,53.25,2909950.48,613121.35,612913,2,1,0,0,0,0,1,0,0,0
44.17,37.34,52.99,3741210.53,728062.51,724200.98,3,0,1,0,0,0,1,0,0,0
42.41,38.08,50.73,409915.07,110537.97,100097.08,4,0,0,1,0,0,1,0,0,0
41.62,38.21,49.19,1346952.44,346009.56,332990.33,5,0,0,0,1,0,1,0,0,0
43.63,39.2,48.92,338067.44,97568.03,82860.63,6,0,0,0,0,1,2,1,0,0
40.48,36.7,50.87,1965372.37,407408.35,406411.29,1,0,0,0,0,0,2,1,0,0
44.53,35.5,53.07,2928165.7,622058.3,620200.05,2,1,0,0,0,0,2,1,0,0
44.25,38.22,54.02,3616712.39,705078.46,702782.71,3,0,1,0,0,0,2,1,0,0
43.28,38.7,51.53,395898.69,105611.7,98025.29,4,0,0,1,0,0,2,1,0,0
42.16,38.86,49.67,1329004.41,348848.02,331056.25,5,0,0,0,1,0,2,1,0,0
46.86,41.98,52.22,331469.66,96233.01,85570.43,6,0,0,0,0,1,3,0,1,0
43.9,40.14,53.98,1990286.68,410924.75,409309.43,1,0,0,0,0,0,3,0,1,0
48.57,39.49,56.22,3026087.62,632728.4,631749.41,2,1,0,0,0,0,3,0,1,0
47.95,42.38,57.19,3638431.28,692876.98,692314.53,3,0,1,0,0,0,3,0,1,0
45.78,41.78,53.87,433399.42,108319.97,98136.15,4,0,0,1,0,0,3,0,1,0
46.13,42.62,53.97,1302648.98,344007.21,335945.91,5,0,0,0,1,0,3,0,1,0